week_date,dist_TRA_int,pCO2,Tem
2016-01-11T00:00:00Z,70,407.11624203821657,2.836687898089172
2016-01-11T00:00:00Z,90,403.9911585365854,2.981219512195122
2016-01-11T00:00:00Z,110,411.60329545454545,3.277215909090909
2016-01-11T00:00:00Z,130,417.2267901234568,3.3925925925925924
2016-01-11T00:00:00Z,150,416.307898089172,3.499235668789809
2016-01-11T00:00:00Z,170,417.9785806451613,3.742451612903226
2016-01-11T00:00:00Z,190,416.9009395973154,3.953758389261745
2016-01-11T00:00:00Z,210,415.77060402684566,4.157718120805369
2016-01-11T00:00:00Z,230,416.55319727891157,4.210612244897959
2016-01-11T00:00:00Z,250,417.37993377483446,4.279139072847682
2016-01-11T00:00:00Z,270,415.7624342105263,4.268815789473684
2016-01-11T00:00:00Z,290,414.12611842105264,4.486644736842106
2016-01-11T00:00:00Z,310,422.1385616438356,4.830684931506849
2016-01-11T00:00:00Z,330,425.10641379310346,4.820758620689655
2016-01-11T00:00:00Z,350,429.01972222222224,4.289930555555555
2016-01-11T00:00:00Z,370,430.81388888888887,4.2657638888888885
2016-01-11T00:00:00Z,390,446.24659722222225,4.088680555555555
2016-01-11T00:00:00Z,410,454.860275862069,4.100206896551724
2016-01-11T00:00:00Z,430,466.39173611111113,3.8811805555555554
2016-01-11T00:00:00Z,450,447.3968493150685,4.146438356164383
2016-01-11T00:00:00Z,470,453.72285714285715,4.1446938775510205
2016-01-11T00:00:00Z,490,476.26355263157893,3.8083720930232556
2016-01-11T00:00:00Z,510,514.8547826086957,3.8282608695652174
2016-01-11T00:00:00Z,530,475.79239726027396,3.756095890410959
2016-01-11T00:00:00Z,550,451.6260689655172,3.732965517241379
2016-01-11T00:00:00Z,570,443.51754966887415,3.6202649006622516
2016-01-11T00:00:00Z,590,460.53851612903225,3.9116129032258065
2016-01-11T00:00:00Z,610,460.84402597402595,4.0933116883116885
2016-01-11T00:00:00Z,630,462.0390728476821,4.311456953642384
2016-01-11T00:00:00Z,650,464.1240522875817,4.536470588235294
2016-01-11T00:00:00Z,670,458.91245033112585,4.731125827814569
2016-01-11T00:00:00Z,690,458.02205298013246,4.732649006622516
2016-01-11T00:00:00Z,710,455.0636912751678,4.805771812080537
2016-01-11T00:00:00Z,730,455.3645333333333,4.768
2016-01-11T00:00:00Z,750,459.851,4.612333333333333
2016-01-11T00:00:00Z,770,463.6929801324503,4.49887417218543
2016-01-11T00:00:00Z,790,473.84706666666665,4.4472
2016-01-11T00:00:00Z,810,474.9033774834437,4.543112582781457
2016-01-11T00:00:00Z,830,484.43306666666666,4.368266666666667
2016-01-11T00:00:00Z,850,478.81362416107385,4.290201342281879
2016-01-11T00:00:00Z,870,467.809387755102,4.574965986394558
2016-01-11T00:00:00Z,890,467.8388888888889,4.539722222222222
2016-01-11T00:00:00Z,910,467.47993006993005,4.260909090909091
2016-01-11T00:00:00Z,930,460.5594520547945,3.9085616438356166
2016-01-11T00:00:00Z,950,459.94793103448274,3.3096551724137933
2016-01-11T00:00:00Z,970,461.7436486486487,3.0319594594594594
2016-01-11T00:00:00Z,990,454.13376712328767,2.2108219178082194
2016-01-11T00:00:00Z,1010,455.93619047619046,2.0353061224489797
2016-01-11T00:00:00Z,1030,461.2467123287671,2.0473972602739727
2016-01-11T00:00:00Z,1050,458.89159722222223,1.990625
2016-01-11T00:00:00Z,1070,450.6282456140351,1.2213157894736841
2016-01-11T00:00:00Z,1090,441.32125,0.9227083333333334
2016-01-25T00:00:00Z,70,412.4338076923077,3.2152307692307693
2016-01-25T00:00:00Z,90,414.64548638132294,3.3864591439688714
2016-01-25T00:00:00Z,110,417.26296028880864,3.409530685920578
2016-01-25T00:00:00Z,130,411.92633858267715,3.265236220472441
2016-01-25T00:00:00Z,150,409.516374501992,3.2474900398406374
2016-01-25T00:00:00Z,170,410.4333196721311,3.444344262295082
2016-01-25T00:00:00Z,190,412.1508547008547,3.4421794871794873
2016-01-25T00:00:00Z,210,413.8405172413793,3.599353448275862
2016-01-25T00:00:00Z,230,418.36969827586205,3.835646551724138
2016-01-25T00:00:00Z,250,421.9532365145228,3.9095020746887967
2016-01-25T00:00:00Z,270,423.5188477366255,4.018312757201646
2016-01-25T00:00:00Z,290,426.24569620253163,4.24042194092827
2016-01-25T00:00:00Z,310,432.6028820960699,4.504410480349345
2016-01-25T00:00:00Z,330,434.92873362445414,4.5317903930131
2016-01-25T00:00:00Z,350,449.6966233766234,4.3852813852813854
2016-01-25T00:00:00Z,370,472.8440869565217,3.9685652173913044
2016-01-25T00:00:00Z,390,483.6187982832618,3.81206008583691
2016-01-25T00:00:00Z,410,485.68259574468084,3.569446808510638
2016-01-25T00:00:00Z,430,493.7169658119658,3.4082051282051284
2016-01-25T00:00:00Z,450,494.2373895582329,3.552128514056225
2016-01-25T00:00:00Z,470,495.45762711864404,3.5470053475935828
2016-01-25T00:00:00Z,490,503.0332738095238,3.546685393258427
2016-01-25T00:00:00Z,510,503.0485945945946,3.5441081081081083
2016-01-25T00:00:00Z,530,494.06555555555553,3.515515873015873
2016-01-25T00:00:00Z,550,494.64113360323887,3.5446963562753036
2016-01-25T00:00:00Z,570,492.3086561264822,3.554624505928854
2016-01-25T00:00:00Z,590,488.57983739837397,3.636951219512195
2016-01-25T00:00:00Z,610,487.0402066115702,3.607231404958678
2016-01-25T00:00:00Z,630,477.95591666666667,3.8182916666666666
2016-01-25T00:00:00Z,650,470.9820661157025,3.9407024793388428
2016-01-25T00:00:00Z,670,467.7826778242678,4.055941422594143
